,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2001-12-31,297100.0,135303.0,149079.0,31504.0,36909.0,57309.0,,848.0,0.0,4375.0,762.0,,,,63183.0,,,,,,1107.0,0.0,0.0,,297100.0,89783.0,4358.0,5418.0,0.0,0.0,,,6891.0,0.0,,3533.0,46671.0,,0.0,0.0,,0.0,,,9474.0,148021.0,0.0,,,,50501.0,0.0,,,
2002-03-31,282092.0,118962.0,128073.0,0.0,37312.0,57404.0,,5267.0,0.0,64.0,857.0,,,,32616.0,,,,,,1195.0,0.0,0.0,,282092.0,56161.0,0.0,5752.0,0.0,0.0,,,7020.0,0.0,,1917.0,58630.0,,0.0,0.0,,0.0,,,10161.0,154019.0,0.0,,,,56499.0,0.0,,,
2002-06-30,305385.0,138908.0,153305.0,0.0,44574.0,57759.0,,5420.0,0.0,77.0,963.0,,,,46163.0,,,,,,1054.0,0.0,0.0,,305385.0,72384.0,0.0,6846.0,0.0,0.0,,,8014.0,0.0,,2168.0,67501.0,,0.0,0.0,,0.0,,,10312.0,152080.0,0.0,,,,54560.0,0.0,,,
2002-09-30,335829.0,167135.0,184856.0,0.0,50514.0,64678.0,,7691.0,0.0,139.0,959.0,,,,64273.0,,,,,,1054.0,0.0,0.0,,335829.0,98136.0,0.0,10931.0,0.0,0.0,,,8118.0,0.0,,2733.0,71936.0,,0.0,0.0,,0.0,,,10778.0,150973.0,0.0,,,,53453.0,0.0,,,
2002-12-31,367103.0,189544.0,212409.0,46019.0,41564.0,89766.0,,5511.0,0.0,4940.0,1346.0,,,,102592.0,,,,,,706.0,0.0,0.0,,367103.0,135819.0,1744.0,8605.0,0.0,0.0,,,5740.0,0.0,,5471.0,62480.0,,0.0,0.0,,0.0,,,11004.0,154694.0,0.0,,,,57179.0,0.0,,,
2003-03-31,341782.0,165906.0,184729.0,11291.0,39615.0,99569.0,,13236.0,0.0,147.0,2887.0,,,,70705.0,,,,,,724.0,0.0,0.0,,341782.0,100806.0,2048.0,7139.0,0.0,0.0,,,6598.0,0.0,,4429.0,67181.0,,0.0,0.0,,0.0,,,11386.0,157053.0,0.0,,,,59538.0,0.0,,,
2003-06-30,343644.0,166780.0,180903.0,12710.0,47173.0,89444.0,,13126.0,0.0,85.0,2624.0,,,,71397.0,,,,,,713.0,0.0,0.0,,343644.0,97561.0,4242.0,7035.0,0.0,0.0,,,5549.0,0.0,,5118.0,61995.0,,0.0,0.0,,0.0,,,12559.0,162741.0,0.0,,,,65226.0,0.0,,,
2003-09-30,357132.0,162286.0,192655.0,23952.0,47727.0,82907.0,,4144.0,0.0,90.0,1349.0,,,,79314.0,,,,,,749.0,0.0,0.0,,357132.0,109382.0,3466.0,9859.0,0.0,0.0,,,5314.0,0.0,,5678.0,61721.0,,0.0,0.0,,0.0,,,12771.0,164477.0,0.0,,,,66962.0,0.0,,,
2003-12-31,367625.0,170983.0,206857.0,36251.0,33532.0,81620.0,,5235.0,0.0,3023.0,14909.0,,,,87535.0,,,,,,795.0,0.0,0.0,,367625.0,115931.0,11322.0,7962.0,0.0,0.0,,,3021.0,0.0,,5020.0,68715.0,,0.0,0.0,,0.0,,,12253.0,160768.0,0.0,,,,63253.0,0.0,,,
2004-03-31,328958.0,132872.0,168126.0,8929.0,43725.0,69459.0,,3690.0,0.0,3905.0,16719.0,,,,53438.0,,,,,,814.0,0.0,0.0,,328958.0,82421.0,3164.0,9629.0,0.0,0.0,,,5046.0,0.0,,5100.0,63426.0,,0.0,0.0,,0.0,,,12151.0,160832.0,0.0,,,,63317.0,0.0,,,
