,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2007-06-30,402485.0,22401.0,303.0,0.0,-831.0,,,3319.0,,0.0,1590.0,,,,0.0,,,,,6153.0,0.0,361957.0,0.0,,402485.0,104293.0,0.0,13529.0,18343.0,56594.0,16560.0,0.0,288710.0,,,-1860.0,108691.0,,64898.0,0.0,,10828.0,,0.0,,113775.0,0.0,8010.0,,28.0,-48301.0,,,,
2007-09-30,663498.0,215378.0,4461.0,189427.0,-389.0,,,4482.0,,0.0,1424.0,,,,0.0,,,,,10045.0,16518.0,406106.0,0.0,,663498.0,84508.0,0.0,10038.0,15892.0,43477.0,9660.0,0.0,283489.0,,,-1972.0,107690.0,,80278.0,0.0,,11013.0,,0.0,,380009.0,0.0,11088.0,,372.0,-69171.0,,,,
2007-12-31,640908.0,58335.0,7608.0,23805.0,-3074.0,,,4623.0,,0.0,13733.0,,,,0.0,,,,,3780.0,0.0,548113.0,11011.0,,640908.0,83467.0,0.0,10601.0,17282.0,16752.0,27618.0,0.0,260394.0,,,-2749.0,107916.0,,34824.0,22999.0,,11188.0,,0.0,,380514.0,0.0,15946.0,,372.0,-68666.0,,,,
2008-03-31,742950.0,57920.0,18481.0,13291.0,-2178.0,,,6810.0,,0.0,13581.0,,,,0.0,,,,,3973.0,0.0,628253.0,33355.0,,742950.0,264272.0,0.0,10468.0,16612.0,181889.0,37091.0,0.0,362709.0,,,-1854.0,30152.0,,34328.0,22932.0,,11025.0,,0.0,,380241.0,395006.0,15270.0,,419.0,-68361.0,,,,
2008-06-30,938368.0,214292.0,20465.0,57147.0,-1942.0,,,5933.0,,0.0,14401.0,,,,0.0,,,,,5544.0,0.0,667269.0,32510.0,,938368.0,307753.0,0.0,121866.0,17102.0,206940.0,37508.0,0.0,560066.0,,,-1496.0,28130.0,,191308.0,22792.0,,10083.0,,0.0,,378302.0,0.0,14349.0,,473.0,-70098.0,,,,
2008-09-30,903249.0,154465.0,8282.0,4475.0,-2376.0,,,6210.0,,0.0,14297.0,,,,0.0,,,,,8097.0,0.0,693518.0,31239.0,,903249.0,299717.0,0.0,127178.0,18362.0,208508.0,31324.0,0.0,533848.0,,,-1769.0,8675.0,,193111.0,22752.0,,9593.0,,0.0,,369401.0,391467.0,14139.0,,529.0,-78911.0,,,,
2008-12-31,1004514.0,235680.0,73589.0,20409.0,-1937.0,,,6693.0,,0.0,19067.0,,,,0.0,,,,,13461.0,0.0,710666.0,6086.0,,1004514.0,313011.0,0.0,2800.0,21185.0,216156.0,35457.0,0.0,631421.0,,,-1935.0,20741.0,,268784.0,20231.0,,8654.0,,0.0,,373093.0,0.0,20300.0,,642.0,-75141.0,,,,
2009-03-31,835871.0,49863.0,8031.0,19149.0,-1404.0,,,5998.0,,0.0,19948.0,,,,0.0,,,,,13570.0,0.0,726962.0,5357.0,,835870.0,177182.0,14358.0,3727.0,29255.0,62122.0,35114.0,0.0,454671.0,,,22701.0,2721.0,,246176.0,20214.0,,8378.0,,0.0,,381200.0,395355.0,18562.0,,644.0,-66978.0,,,,
2009-06-30,822795.0,31975.0,4862.0,2846.0,-2268.0,,,6040.0,,0.0,21469.0,,,,0.0,,,,,5201.0,0.0,730310.0,5324.0,,822795.0,142241.0,-1931.0,3279.0,31475.0,58532.0,24123.0,0.0,437029.0,,,23049.0,7380.0,,259179.0,20162.0,,8067.0,,0.0,,385766.0,395080.0,20601.0,,708.0,-62356.0,,,,
2009-09-30,830345.984,35099.0,6921.0,0.0,22429.0,0.0,0.0,0.0,0.0,5749.0,32647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15389.0,17258.0,0.0,732155.0079999999,30445.0,0.0,830345.984,150316.992,0.0,4308.0,34925.0,60078.0,0.0,0.0,51006.0,0.0,0.0,290073.984,6134.0,0.0,276196.0,0.0,0.0,7744.0,0.0,0.0,0.0,389955.008,317812.99199999997,0.0,130253.0,0.0,-58111.0,0.0,0.0,0.0,0.0
