,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2004-12-31,27.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,1.0,,0.0,0.0,0.0,,27.0,21.0,,21.0,0.0,0.0,,0.0,0.0,,,26.0,0.0,,5.0,0.0,,0.0,,,,1.0,0.0,0.0,,0.0,0.0,0.0,,27.0,
2005-03-31,27.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,1.0,,0.0,0.0,0.0,,27.0,21.0,,21.0,0.0,0.0,,0.0,0.0,,,26.0,0.0,,5.0,0.0,,0.0,,,,1.0,0.0,0.0,,0.0,0.0,0.0,,27.0,
2005-06-30,29.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,1.0,,0.0,0.0,0.0,,29.0,21.0,,21.0,0.0,0.0,,0.0,0.0,,,28.0,0.0,,7.0,0.0,,0.0,,,,1.0,0.0,0.0,,0.0,0.0,0.0,,28.0,
2005-09-30,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,1.0,,0.0,0.0,0.0,,1.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,,,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
2005-12-31,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,1.0,,0.0,0.0,0.0,,1.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,,,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
2006-03-31,8542657.0,2727456.0,434932.0,0.0,1952572.0,3373.0,,0.0,0.0,-1522.0,1797658.0,,,,77893.0,,,0.0,1805827.0,,0.0,0.0,0.0,,8542657.0,1490269.0,,438328.0,200493.0,321400.0,,0.0,429388.0,,,6736830.0,2955729.0,,1246082.0,0.0,,1033236.0,,,,1805827.0,133902.33,207005.0,,0.0,0.0,0.0,,100792.0,
2006-06-30,8384744.0,2609135.0,491300.0,0.0,1894217.0,3575.0,,0.0,0.0,0.0,1748473.0,,,,0.0,,,0.0,1743274.0,,0.0,0.0,0.0,,8384744.0,1524528.0,,416493.0,185720.0,333399.0,,0.0,504066.0,,,6641470.0,2855182.0,,1169181.0,0.0,,1084904.0,,,,1743274.0,133906.29,0.0,,0.0,0.0,0.0,,113529.0,
2006-09-30,8319595.0,2588008.0,581161.0,0.0,1911340.0,11513.0,,0.0,0.0,0.0,1725709.0,,,,83836.0,,,0.0,1416287.0,,0.0,0.0,0.0,,8319595.0,1556246.0,,432566.0,199570.0,348832.0,,0.0,480331.0,,,6903308.0,2770790.0,,1309901.0,0.0,,1262533.0,,,,1416287.0,133906.29,283763.0,,0.0,0.0,0.0,,95781.0,
2006-12-31,8558736.0,3387728.0,695108.0,0.0,2378531.0,11409.0,,0.0,284109.0,-6.0,1165019.0,,,,86167.0,,,0.0,1508510.0,,0.0,0.0,0.0,,8558736.0,1742785.0,,464972.0,257087.0,368530.0,,0.0,474881.0,,,7050226.0,2671406.0,,1391981.0,0.0,,1241322.0,,,,1508510.0,133907.05,175632.0,,0.0,0.0,0.0,,41753.0,
2007-03-31,8154539.0,2739219.0,434906.0,-210.0,2055514.0,13058.0,,0.0,0.0,0.0,1413769.0,,,,69169.0,,,0.0,1602983.0,,0.0,0.0,0.0,,8154539.0,1565106.0,,464929.0,177105.0,336710.0,,0.0,423449.0,,,6551556.0,2340239.0,,1379488.0,0.0,,1253404.0,,,,1602983.0,133907.05,187665.0,,0.0,-6256.0,0.0,,110239.0,
