,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2010-12-31,2453131.008,177391.008,139094.0,6521.0,16085.0,0.0,0.0,0.0,0.0,15691.0,21936.0,0.0,0.0,421.0,0.0,0.0,17200.0,0.0,0.0,4315.0,66.0,9400.0,2244337.92,0.0,2453131.008,153702.0,23288.0,950.0,4149.0,56719.0,0.0,0.0,68596.0,0.0,0.0,687582.9759999999,354073.984,0.0,0.0,288446.016,0.0,44537.0,0.0,526.0,0.0,1611846.0159999998,1466630.0159999998,17192.0,0.0,0.0,-17020.0,145044.0,0.0,0.0,0.0
2011-03-31,2462347.008,209532.992,149162.0,10103.0,46196.0,0.0,0.0,0.0,0.0,4072.0,318687.00800000003,0.0,0.0,424.0,0.0,0.0,314409.984,0.0,0.0,3853.0,66.0,8002.0,1926059.0080000001,0.0,2462347.008,166731.008,16315.0,66910.0,12443.0,44346.0,0.0,0.0,26717.0,0.0,0.0,682451.968,353235.008,0.0,0.0,282417.984,0.0,46319.0,0.0,480.0,0.0,1613164.032,1466630.0159999998,24256.0,0.0,0.0,-22766.0,145044.0,0.0,0.0,0.0
2011-06-30,2591724.0319999997,207611.008,142543.008,10617.0,33144.0,0.0,0.0,0.0,0.0,21307.0,305616.0,0.0,0.0,595.0,0.0,0.0,301644.99199999997,0.0,0.0,3376.0,66.0,9031.0,2069400.064,0.0,2591724.0319999997,347998.016,32533.0,57807.0,10436.0,57257.0,36586.0,0.0,153379.008,0.0,0.0,687985.0240000001,354743.008,0.0,6384.0,276182.016,0.0,50241.0,0.0,435.0,0.0,1555741.0559999999,1451752.96,30696.0,0.0,0.0,-71752.0,145044.0,0.0,0.0,0.0
2011-09-30,2761074.9439999997,390388.0,308196.99199999997,10926.0,43447.0,0.0,0.0,0.0,0.0,27818.0,289848.99199999997,0.0,0.0,1031.0,0.0,0.0,285918.016,0.0,0.0,2900.0,66.0,17725.0,2063047.04,0.0,2761074.9439999997,207544.992,27850.0,70170.0,9807.0,63385.0,377.0,0.0,35956.0,0.0,0.0,627040.0,295159.00800000003,0.0,6023.0,275715.00800000003,0.0,49753.0,0.0,390.0,69.0,1926420.9840000002,1805174.0159999998,35762.0,0.0,0.0,-59559.0,145044.0,0.0,0.0,0.0
2011-12-31,2855305.9839999997,464699.008,369668.0,12233.0,49028.0,0.0,0.0,0.0,0.0,33770.0,278504.0,0.0,0.0,946.0,0.0,0.0,273644.99199999997,0.0,0.0,3913.0,66.0,18833.0,2093203.968,0.0,2855305.9839999997,284923.00800000003,21843.0,86595.0,19243.0,75622.0,0.0,0.0,81620.0,0.0,0.0,632262.976,295574.016,0.0,10387.0,269476.99199999997,0.0,51007.0,0.0,5818.0,-5852.0,1943971.936,1809341.0559999999,40505.0,0.0,0.0,-50918.0,145044.0,0.0,0.0,0.0
2012-03-31,2821391.104,457820.992,359955.008,12555.0,45136.0,0.0,0.0,0.0,0.0,40175.0,263800.0,0.0,0.0,1066.0,0.0,0.0,259308.0,0.0,0.0,3426.0,66.0,19448.0,2080256.0,0.0,2821391.104,251854.0,19983.0,84405.0,16491.0,62102.0,0.0,0.0,68873.0,0.0,0.0,616278.976,295576.0,0.0,11042.0,262395.00800000003,0.0,46966.0,0.0,300.0,-5697.0,1958954.9840000002,1809341.0559999999,45349.0,0.0,0.0,-40779.0,145044.0,0.0,0.0,0.0
2012-06-30,2850300.9280000003,517236.0,321833.984,13717.0,52032.0,0.0,0.0,0.0,0.0,129653.0,263372.99199999997,0.0,0.0,1097.0,0.0,0.0,242656.0,0.0,1382.0,18238.0,66.0,19256.0,2050370.0480000002,0.0,2850300.9280000003,255876.0,26319.0,88597.0,17455.0,71212.0,4.0,0.0,52289.0,0.0,0.0,611824.0,296033.984,0.0,13791.0,256164.0,0.0,45579.0,0.0,256.0,-5704.0,1988304.96,1821339.0080000001,49013.0,0.0,0.0,-27091.0,145044.0,0.0,0.0,0.0
2012-09-30,3085238.0160000003,242984.992,78189.0,17291.0,80380.0,0.0,0.0,0.0,0.0,67125.0,265263.00800000003,0.0,0.0,2315.0,0.0,0.0,231866.0,0.0,17813.0,13269.0,99.0,20794.0,2556097.024,0.0,3085238.0160000003,286720.99199999997,30425.0,104622.0,25859.0,82361.0,0.0,0.0,43454.0,0.0,0.0,799204.9920000001,216491.008,0.0,245739.008,263978.0,0.0,72788.0,0.0,209.0,-5743.0,2005055.0,1821923.968,52471.0,0.0,0.0,-14384.0,145044.0,0.0,0.0,0.0
2012-12-31,3095250.9439999997,279758.016,123957.0,19144.0,86995.0,0.0,0.0,0.0,0.0,49662.0,265228.99199999997,0.0,0.0,3712.0,0.0,0.0,218504.992,0.0,18829.0,24183.0,99.0,20159.0,2530006.016,0.0,3095250.9439999997,304273.984,30218.0,117952.0,23627.0,88222.0,84.0,0.0,44171.0,0.0,0.0,798774.016,216948.992,0.0,253955.008,253107.008,0.0,74597.0,0.0,166.0,-4827.0,1997030.0080000001,1822436.9919999999,58190.0,0.0,0.0,-28641.0,145044.0,0.0,0.0,0.0
2013-03-31,3057185.0239999997,319928.99199999997,146939.008,19444.0,93778.0,0.0,0.0,0.0,0.0,59768.0,217614.0,0.0,0.0,3712.0,0.0,0.0,166499.008,0.0,17914.0,29489.0,99.0,19512.0,2500030.976,0.0,3057185.0239999997,281388.99199999997,26593.0,109518.0,27492.0,81463.0,246.0,0.0,36077.0,0.0,0.0,763432.0,217407.008,0.0,266308.0,202894.0,0.0,76703.0,0.0,120.0,-4104.0,2016468.032,1827586.9440000001,65061.0,0.0,0.0,-21224.0,145044.0,0.0,0.0,0.0
2013-06-30,3121719.04,438639.008,230731.008,23607.0,87079.0,0.0,0.0,0.0,0.0,97222.0,202540.0,0.0,0.0,3712.0,0.0,0.0,162200.0,0.0,17475.0,19153.0,99.0,19189.0,2461252.096,0.0,3121719.04,315495.00800000003,35454.0,128040.0,26790.0,87871.0,84.0,0.0,37256.0,0.0,0.0,776643.0079999999,217864.0,0.0,293998.016,196600.992,0.0,68104.0,0.0,76.0,-3068.0,2032649.0559999999,1844823.04,65320.0,0.0,0.0,-22538.0,145044.0,0.0,0.0,0.0
2013-09-30,3112689.92,434967.008,208050.0,26498.0,91198.0,0.0,0.0,0.0,0.0,109221.0,203475.008,0.0,0.0,3712.0,0.0,0.0,162131.008,0.0,17632.0,20000.0,99.0,18479.0,2455670.016,0.0,3112689.92,356377.984,43942.0,139255.008,32550.0,100776.0,84.0,0.0,39771.0,0.0,0.0,707646.9759999999,118322.0,0.0,333240.99199999997,190310.0,0.0,65744.0,0.0,30.0,-1584.0,2050248.96,1848376.064,65581.0,0.0,0.0,-8752.0,145044.0,0.0,0.0,0.0
2013-12-31,3242027.008,521590.016,327368.0,28685.0,101770.0,0.0,0.0,0.0,0.0,63767.0,231918.0,0.0,0.0,0.0,0.0,0.0,204460.0,0.0,7605.0,19853.0,99.0,28676.0,2459744.0,0.0,3242027.008,402771.008,50476.0,158630.0,39286.0,106563.0,84.0,0.0,47732.0,0.0,0.0,825328.0,118780.0,0.0,475844.992,184016.992,0.0,46686.0,0.0,0.0,4453.0,2009474.936,1854888.96,69901.0,0.0,0.0,-60359.0,145044.0,0.0,0.0,0.0
2014-03-31,3221778.9439999997,494832.992,307153.984,29352.0,95651.0,0.0,0.0,0.0,0.0,62676.0,219264.992,0.0,0.0,0.0,0.0,0.0,190483.008,0.0,7558.0,21224.0,99.0,41432.0,2466149.8880000003,0.0,3221778.9439999997,621787.0079999999,30919.0,137650.0,29798.0,100439.0,0.0,0.0,322980.99199999997,0.0,0.0,563452.032,119237.0,0.0,222318.0,177724.992,0.0,44172.0,0.0,0.0,-473.0,2037013.032,1854888.96,76627.0,0.0,0.0,-39547.0,145044.0,0.0,0.0,0.0
2014-06-30,3004559.872,319777.984,91556.0,30360.0,99537.0,0.0,0.0,0.0,0.0,98325.0,200259.008,0.0,0.0,0.0,0.0,0.0,152342.0,0.0,7208.0,40709.0,99.0,51545.0,2432879.1040000003,0.0,3004559.872,365268.992,43785.0,141960.992,22870.0,106939.0,0.0,0.0,49714.0,0.0,0.0,564099.968,119695.0,0.0,229407.008,171432.0,0.0,43566.0,0.0,0.0,3991.0,2071200.04,1861712.0,83683.0,0.0,0.0,-19239.0,145044.0,0.0,0.0,0.0
